title,total_price,unit_price,community_name,region_name,lay_out,area,orientation,decorate_status,floor,building_type,house_tag,is_near_subway,tax_free_type,is_has_key
地铁5号线，电梯板楼南北通透3居室，满五年唯一,5180000,32319,天通苑五区,昌平天通苑五至六环,3室1厅,160.28平米,南 北,平层/简装,中楼层/共10层,板楼,,True,房本满五年,True
南北向  精装四居室   满五唯一  近地铁,5500000,31375,天通苑五区,昌平天通苑五至六环,4室2厅,175.3平米,南 北,平层/精装,顶层/共6层,板楼,,False,房本满五年,True
新上热推邻龙德满五年自住精装修商品房,3500000,29336,天通苑五区,昌平天通苑五至六环,3室1厅,119.31平米,南 北 东,平层/精装,高楼层/共6层,板楼,,True,房本满五年,True
新上 热推 近龙德 好楼层满五年唯一,3090000,32353,天通苑五区,昌平天通苑五至六环,2室1厅,95.51平米,南 北,平层/简装,中楼层/共6层,板楼,,True,房本满五年,False
热推近龙德楼层采光好眼镜户型朝南商品房,4500000,25569,天通苑五区,昌平天通苑五至六环,4室2厅,176平米,南 北,平层/精装,高楼层/共6层,板楼,,True,房本满五年,False
南北板楼楼层好，交通方便，近商超,3300000,42098,天通苑五区,昌平天通苑五至六环,2室1厅,78.39平米,南 北,平层/简装,中楼层/共7层,板楼,,True,房本满五年,False
户型方正，小区环境好，房屋布局合理，空间无浪费，,6000000,29048,天通苑一区,昌平天通苑五至六环,5室1厅,206.56平米,南 北,复式/简装,中楼层/共6层,板楼,,False,房本满五年,False
天通苑五区 精装修 南北通透 近地铁 电梯3居室,5760000,36030,天通苑五区,昌平天通苑五至六环,3室1厅,159.87平米,南 北,平层/精装,中楼层/共13层,板楼,,True,房本满五年,True
天通苑五区 近地铁 南北通透 商品房 电梯3居室,5660000,35375,天通苑五区,昌平天通苑五至六环,3室1厅,160平米,南 北,平层/简装,中楼层/共11层,板楼,,True,房本满五年,True
天通苑五区 精装修电梯三居室 南北通透 次顶层,6580000,41120,天通苑五区,昌平天通苑五至六环,3室1厅,160.02平米,南 北,平层/精装,高楼层/共10层,板楼,,False,房本满五年,True
天通苑五区 优质电梯复式 南北通透 近地铁4居室,6700000,25122,天通苑五区,昌平天通苑五至六环,4室2厅,266.7平米,南 北,复式/毛坯,高楼层/共13层,板楼,,True,房本满五年,True
天通苑五区 满五唯一 板楼 南北 复式4居,3380000,26269,天通苑五区,昌平天通苑五至六环,4室2厅,128.67平米,北 南,复式/简装,高楼层/共7层,板楼,,True,房本满五年,False
天通苑五区 电梯板楼一梯两户 高楼层观景房,4300000,26897,天通苑五区,昌平天通苑五至六环,3室1厅,159.87平米,南 北,平层/精装,高楼层/共13层,板楼,,True,房本满五年,True
天通苑五区南北通透两居室，位置楼层好,3300000,34552,天通苑五区,昌平天通苑五至六环,2室1厅,95.51平米,南 北,平层/简装,低楼层/共6层,板楼,,True,房本满五年,True
天通苑五区 精装修 电梯复式 看房方便,8680000,32609,天通苑五区,昌平天通苑五至六环,3室3厅,266.19平米,南 北,复式/精装,高楼层/共11层,板楼,,True,房本满五年,True
天通苑一区 3+4跃层挑空客厅  南北通透5居室,4800000,19010,天通苑一区,昌平天通苑五至六环,5室1厅,252.5平米,南 北,复式/简装,中楼层/共6层,板楼,,True,房本满五年,True
天通苑一区临街1+2+3+半地下室，也可居住,6200000,20475,天通苑一区,昌平天通苑五至六环,7室3厅,302.82平米,东 西,复式/简装,底层/共3层,板楼,,False,房本满五年,True
天通苑一区 1+2挑空客厅复式 满五唯一 精装修,8600000,23337,天通苑一区,昌平天通苑五至六环,5室1厅,368.52平米,南 北,复式/精装,底层/共6层,板楼,,True,房本满五年,True
天通苑一区，1+2就一套在卖，精装修，,8600000,41127,天通苑一区,昌平天通苑五至六环,4室1厅,209.11平米,南 北,复式/其他,底层/共6层,板楼,,True,房本满五年,False
天通苑五区 3室1厅 南 北,4380000,27372,天通苑五区,昌平天通苑五至六环,3室1厅,160.02平米,南 北,简装,低楼层/共10层,板楼,,False,房本满五年,False
天通苑一区  一层加二三层加地下一层  位置好,7500000,27124,天通苑一区,昌平天通苑五至六环,5室2厅,276.51平米,东 西,复式/简装,底层/共3层,板楼,房主自荐,False,房本满五年,True
天通苑一区  四居  两卧朝南  中楼层 商五唯一,3980000,23850,天通苑一区,昌平天通苑五至六环,4室1厅,166.88平米,南 北,平层/简装,中楼层/共6层,板楼,,True,房本满五年,False
新上刚需户型邻地铁天通苑心动之选,3090000,30913,天通苑五区,昌平天通苑五至六环,2室1厅,99.96平米,南 北,平层/简装,高楼层/共6层,板楼,,False,房本满五年,True
天通苑五区 3室2厅 南 北,4800000,32875,天通苑五区,昌平天通苑五至六环,3室2厅,146.01平米,南 北,平层/简装,低楼层/共11层,板楼,,False,房本满五年,False
天通苑五区，160平米，一层大三居,5600000,34950,天通苑五区,昌平天通苑五至六环,3室1厅,160.23平米,南 北,平层/精装,底层/共13层,板楼,,True,房本满五年,False
天通苑一区 板楼3居 南北通透 小区安静,5150000,42555,天通苑一区,昌平天通苑五至六环,3室1厅,121.02平米,南 北,精装,底层/共6层,板楼,,False,房本满五年,True
天通苑五区 2室1厅 南,4100000,33896,天通苑五区,昌平天通苑五至六环,2室1厅,120.96平米,南,平层/简装,高楼层/共10层,板楼,,True,房本满五年,False
天通苑一区 3室1厅 南 北,4090000,25550,天通苑一区,昌平天通苑五至六环,3室1厅,160.08平米,南 北,平层/精装,顶层/共6层,板楼,,True,房本满五年,True
